name,ticker,year,quarter,period,period_end,revenue,operating_income,net_income,equity,operating_margin,fs_div
삼성전기,009150,2022,2,2022Q2,2022-06-30,-161158805377.0,-50459355065.0,-39078863812.0,7420402727436.0,31.310330792636528,CFS
삼성전기,009150,2022,3,2022Q3,2022-09-30,-71856850771.0,-49123398064.0,-14561566507.0,7832713764536.0,68.36285968132802,CFS
삼성전기,009150,2022,4,2022Q4,2022-12-31,7040801948137.0,871870941835.0,725307739174.0,7693484679285.0,12.383119824378777,CFS
삼성전기,009150,2023,1,2023Q1,2023-03-31,2021762829146.0,140057618237.0,118078700753.0,7756573443277.0,6.927499913338542,CFS
삼성전기,009150,2023,2,2023Q2,2023-06-30,198759950324.0,64902776162.0,1369747080.0,7806817130296.0,32.65385006194735,CFS
삼성전기,009150,2023,3,2023Q3,2023-09-30,140417801308.0,-20967134556.0,45456417777.0,8063304233996.0,-14.931963298591716,CFS
삼성전기,009150,2023,4,2023Q4,2023-12-31,6548507903137.0,455430477277.0,285577259563.0,8030324975448.0,6.954721350474821,CFS
삼성전기,009150,2024,1,2024Q1,2024-03-31,2624288611066.0,180317078816.0,186450941838.0,8217258707660.0,6.871084150411118,CFS
삼성전기,009150,2024,2,2024Q2,2024-06-30,-44156138373.0,27783208710.0,-5074801777.0,8483041838336.0,-62.920376948063236,CFS
삼성전기,009150,2024,3,2024Q3,2024-09-30,35184727074.0,16775138370.0,-57170501622.0,8563954363790.0,47.677329810513456,CFS
삼성전기,009150,2024,4,2024Q4,2024-12-31,7678785776668.0,510130431099.0,579009998643.0,9015854031770.0,6.643373652238509,CFS
삼성전기,009150,2025,1,2025Q1,2025-03-31,2738649099826.0,200549840807.0,141602249084.0,9047891195336.0,7.322947683211475,CFS
삼성전기,009150,2025,2,2025Q2,2025-06-30,45980032303.0,12458312742.0,-4366351709.0,9015420339369.0,27.09504999888212,CFS
삼성전기,009150,2025,3,2025Q3,2025-09-30,104406624546.0,47269119166.0,87615886968.0,9425735078673.0,45.27406126914288,CFS
삼성전기,009150,2025,4,2025Q4,2025-12-31,8425423481425.0,653053905842.0,506137732875.0,9797343882863.0,7.750992069202773,CFS
삼성전기,009150,2026,1,2026Q1,2026-03-31,3209113412582.0,280572751176.0,252687583556.0,10091093028695.0,8.742998925371595,CFS
